protein,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24
O42656,-0.0447175,0.00762989,0.245499,-0.210001,-0.255342,-0.182787,-0.27819,-0.00227748,-0.217019,0.198428,-0.00751305,0.298115,0.0259469,0.287749,0.0771931,0.103982,-0.0344755,0.241443,0.0483971,0.0429413,-0.202947,0.266659,0.15856,-0.0759127
O74442,-0.0355679,-0.0100442,0.0955184,-0.105501,-0.0906177,-0.0994514,-0.149968,-0.0159912,-0.0933037,0.0885174,-0.0186354,0.126415,-0.0136566,0.139619,0.0390821,0.0364845,-0.00309166,0.119609,0.0101447,0.0447949,-0.086712,0.136177,0.0613871,-0.0580167
Q9P7Q7,-0.0444041,-0.0185086,0.113688,-0.0942737,-0.140187,-0.119375,-0.170498,-0.00980886,-0.0995901,0.1153,0.00793997,0.163191,-0.0132482,0.168491,0.0245726,0.0623267,-0.0270145,0.139966,0.00231422,0.0240988,-0.102527,0.148139,0.0827859,-0.0662164
Q12701,-0.0604532,-0.0132984,0.250005,-0.179461,-0.229521,-0.18894,-0.273645,-0.0128567,-0.18852,0.217613,-0.0082625,0.274602,-0.00532246,0.249264,0.0921182,0.122858,-0.0416341,0.237574,0.050613,0.054026,-0.171884,0.249439,0.132782,-0.0688584
O74473,-0.0694788,-0.0125159,0.277914,-0.225566,-0.294046,-0.242462,-0.333699,-0.0223753,-0.273736,0.247395,-0.0120955,0.354648,0.010567,0.324302,0.1181,0.131939,-0.0424597,0.310547,0.0353894,0.0607334,-0.212973,0.336254,0.167187,-0.104877
Q10292,-0.0453338,-0.00114252,0.233266,-0.212048,-0.216119,-0.180377,-0.284956,-0.0192162,-0.189254,0.20269,-0.0058626,0.308558,0.0218854,0.26742,0.0709289,0.120241,-0.0532283,0.240137,0.0288438,0.039788,-0.187332,0.246695,0.149097,-0.0744693
Q02099,-0.0598731,-0.0106394,0.269377,-0.238405,-0.25688,-0.216261,-0.314765,-0.0163864,-0.234797,0.247754,0.000382821,0.345406,0.0239762,0.304616,0.111699,0.110718,-0.0534255,0.28107,0.0639024,0.0606848,-0.21198,0.299275,0.165591,-0.115321
P22068,-0.0156226,-0.00164343,0.141068,-0.0945395,-0.12518,-0.105119,-0.167539,-0.00130588,-0.136711,0.108454,0.00417995,0.18134,-0.0103007,0.180986,0.0468491,0.054469,-0.0124161,0.12117,0.0266054,0.0294001,-0.0916648,0.155172,0.0647648,-0.044148
O74842,-0.0427167,-0.00928862,0.0979263,-0.0837353,-0.0987855,-0.093015,-0.136432,0.00793018,-0.100003,0.0778684,-0.00849858,0.133627,0.010869,0.1414,0.0160461,0.0633258,-0.0342407,0.100679,0.0309071,0.0287604,-0.0953661,0.111405,0.0851341,-0.0407232
Q9P7P2,-0.0188573,-0.0160279,0.12208,-0.111193,-0.135818,-0.0985882,-0.171491,-0.0240524,-0.0960417,0.0987486,-0.00147816,0.144547,0.00357874,0.133825,0.0480878,0.0661264,-0.0322091,0.129419,0.0411953,0.0327023,-0.0957091,0.148523,0.0742167,-0.0284448
Q9Y7X4,-0.0316039,0.0152735,0.0911346,-0.0766242,-0.116139,-0.0984113,-0.101864,0.0124581,-0.0817523,0.0854206,0.00237571,0.119543,0.0122091,0.11607,0.0536619,0.0668045,-0.0291721,0.113396,0.0165475,0.00799224,-0.0849,0.112934,0.055116,-0.027379
O43083,-0.0598214,0.00712393,0.201619,-0.170317,-0.193697,-0.145091,-0.238212,-0.0220932,-0.163538,0.148158,0.0063541,0.2534,0.0148376,0.234797,0.0780041,0.0941405,-0.0448259,0.18954,0.0349225,0.0299325,-0.159177,0.187622,0.124599,-0.0888923
O13741,-0.0387566,-0.00824845,0.134665,-0.127658,-0.130136,-0.107542,-0.172206,-0.0038619,-0.108144,0.135674,0.00587427,0.163293,0.00074232,0.152187,0.0283656,0.0727922,-0.00718375,0.120756,0.0270239,0.0111056,-0.10441,0.149595,0.0829368,-0.0465897
O74460,-0.0462201,-0.0127521,0.103671,-0.0688456,-0.0959504,-0.0903063,-0.142837,0.0119479,-0.0801809,0.0923378,-0.0239084,0.133546,0.0180622,0.117337,0.0168335,0.0651633,-0.00996556,0.0997344,0.0256069,0.0367662,-0.0791697,0.0969486,0.0676227,-0.0420078
Q96WV5,-0.0241623,0.00586392,0.129332,-0.128209,-0.149214,-0.100104,-0.171638,-0.0162976,-0.122421,0.123896,0.00418408,0.151922,0.0167493,0.162531,0.0407339,0.0641543,-0.0224885,0.151202,0.0242732,0.0350802,-0.120001,0.133519,0.0974317,-0.0561152
Q9UTJ2,-0.0141936,0.00418543,0.113514,-0.0856982,-0.0958606,-0.0950438,-0.139718,-0.0210367,-0.109548,0.0862637,0.00683337,0.12574,0.0255651,0.125998,0.0442933,0.0294151,-0.0244103,0.123499,0.0377124,0.0251421,-0.0670163,0.10827,0.0800983,-0.0332964
Q10284,-0.0539204,0.0175625,0.14617,-0.122258,-0.115173,-0.118715,-0.150251,-0.000433057,-0.114307,0.125991,-0.00232998,0.160561,0.0214937,0.15855,0.0379009,0.0874699,-0.0397773,0.147074,0.0169164,0.0387862,-0.12049,0.159895,0.074005,-0.0536257
P36627,-0.00518115,0.0105087,0.0726891,-0.0761475,-0.0733547,-0.0411512,-0.0801008,-0.0175127,-0.0672571,0.0443789,-0.024788,0.079701,0.0101329,0.0957813,0.0267847,0.0323433,-0.0275978,0.0576977,-0.00797937,0.0299613,-0.0716521,0.0753636,0.0539045,-0.0367879
O13940,-0.0188854,0.0171189,0.0762959,-0.0512963,-0.0855584,-0.0533512,-0.10826,0.0025863,-0.0958227,0.0634113,-0.00233352,0.100634,-0.000112638,0.0917802,0.0151241,0.0280179,-0.00578097,0.0643038,-0.000342278,0.00152974,-0.0653778,0.101028,0.0496336,-0.0346526
Q9UU82,-0.0249605,-0.00886417,0.117413,-0.0702409,-0.109581,-0.0671501,-0.126086,0.00606176,-0.0960403,0.0921103,-0.0151898,0.113775,0.0169689,0.127791,0.0557599,0.0335673,-0.00849367,0.106159,0.0316778,0.0283692,-0.0701133,0.118501,0.0628344,-0.0248695
P49740,-0.0602044,-0.0122788,0.166122,-0.127382,-0.131857,-0.141957,-0.198869,-0.0145941,-0.122625,0.134568,0.00885933,0.207007,0.020482,0.18975,0.0552588,0.0522953,-0.00682659,0.145438,0.0476721,0.0530608,-0.120018,0.149061,0.106857,-0.0620111
P50531,-0.0799647,-0.0265666,0.291487,-0.250775,-0.280153,-0.235007,-0.364343,-0.0218754,-0.273683,0.266887,-0.0317204,0.384105,0.0142952,0.350729,0.0911613,0.155596,-0.0466921,0.294464,0.0696256,0.0601436,-0.21673,0.311098,0.187532,-0.116591
O94449,-0.0585378,-0.0139457,0.21395,-0.160058,-0.20985,-0.168394,-0.261594,0.00814491,-0.170173,0.170666,-0.0297428,0.259336,0.0136557,0.263259,0.059898,0.0790434,-0.0188209,0.189167,0.0358881,0.0584381,-0.168926,0.207087,0.113509,-0.0590918
O43086,-0.045306,-0.011285,0.226931,-0.215382,-0.211525,-0.201772,-0.290798,0.0132661,-0.202943,0.214973,-0.00607353,0.283287,0.0227994,0.270023,0.0914316,0.105697,-0.0444741,0.24179,0.0337193,0.044619,-0.16755,0.272109,0.159206,-0.10904
P39750,-0.0354287,-0.0146799,0.174993,-0.147792,-0.15354,-0.122582,-0.17306,-0.0127382,-0.153885,0.131086,-0.00936307,0.185578,0.00154922,0.197598,0.0704743,0.0909985,-0.0219929,0.152856,0.0423954,0.051766,-0.141633,0.189206,0.110879,-0.0612688
Q9URU2,-0.0550686,-0.000666605,0.26095,-0.229226,-0.234907,-0.200865,-0.300816,0.00432832,-0.241521,0.218869,-0.00383049,0.332601,0.00117876,0.310075,0.0948391,0.134383,-0.0237573,0.258056,0.0644366,0.077398,-0.178494,0.275879,0.175831,-0.0897401
P87324,-0.0378045,-0.0176069,0.159656,-0.136807,-0.175133,-0.140396,-0.196025,-0.00637524,-0.15071,0.143818,-0.0253431,0.223029,0.0193325,0.209597,0.0369224,0.070773,-0.032498,0.168483,0.034238,0.0306031,-0.145413,0.195389,0.119914,-0.0629276
Q10182,-0.0452299,0.0134515,0.10681,-0.0772077,-0.0758534,-0.073578,-0.10792,0.0169679,-0.0826336,0.0737578,-0.0195865,0.111327,-0.00317522,0.118278,0.0180262,0.0427859,-0.00100642,0.109162,0.0388897,0.00682564,-0.0753491,0.0900063,0.0609316,-0.0487722
O42826,-0.0246437,-0.0121521,0.110483,-0.080518,-0.112694,-0.0954204,-0.149634,0.000181482,-0.108255,0.10008,0.0091619,0.152172,-0.000233471,0.122026,0.0333974,0.0501083,-0.034026,0.117692,0.0108225,0.0243882,-0.0821377,0.0949697,0.058371,-0.0442572
Q10198,-0.0522427,-0.0186859,0.248548,-0.176454,-0.203265,-0.19527,-0.258239,-0.0201578,-0.221934,0.223157,-0.0135104,0.273176,0.0241963,0.288844,0.0945079,0.103729,-0.0178477,0.241505,0.0416944,0.0526888,-0.160241,0.259136,0.140291,-0.0991194
Q9URY2,-0.060965,-0.0230887,0.197089,-0.171462,-0.214852,-0.160402,-0.230328,0.00605954,-0.175449,0.19115,-0.0337325,0.247974,-0.0062851,0.233021,0.0838074,0.108347,-0.0272591,0.21632,0.0208264,0.0540032,-0.149325,0.206228,0.146543,-0.0909212
P50528,-0.0982703,-0.0060887,0.366821,-0.292613,-0.339399,-0.288953,-0.426506,-0.0033327,-0.336629,0.298783,-0.0200545,0.421473,0.00947288,0.416457,0.1108,0.151025,-0.0468509,0.34633,0.0728074,0.0706891,-0.289001,0.397748,0.208442,-0.118976
Q9C0W8,-0.0700746,0.0091175,0.233151,-0.176342,-0.230745,-0.192473,-0.269271,0.0150872,-0.214942,0.184896,-0.0284149,0.290363,0.0162661,0.271487,0.0694387,0.0937439,-0.0393558,0.218603,0.0461077,0.0709063,-0.159565,0.240993,0.131166,-0.0763452
O42852,-0.0653014,-0.000779803,0.242651,-0.19302,-0.224482,-0.188877,-0.265818,-0.000333643,-0.204545,0.200327,0.00486508,0.303351,0.00732598,0.270544,0.0750174,0.0958616,-0.0371951,0.210626,0.0272957,0.0509679,-0.160274,0.253676,0.133484,-0.0744227
Q10339,-0.0612081,-0.0141106,0.237668,-0.186536,-0.222682,-0.195622,-0.253131,-0.0133049,-0.189473,0.183993,-0.0337803,0.26828,0.0284841,0.245159,0.0867913,0.117357,-0.0248704,0.22748,0.0585163,0.0709634,-0.184494,0.23662,0.132351,-0.104116
Q9UTF7,-0.020358,0.000780473,0.117329,-0.0803184,-0.115038,-0.0983214,-0.137044,-0.0134747,-0.101128,0.0761624,0.00626795,0.142041,0.0110271,0.119616,0.0497081,0.0644428,-0.0031159,0.100881,0.0374945,0.0248409,-0.0929804,0.102168,0.049724,-0.0236093
P50521,-0.0388542,0.0104888,0.148466,-0.105736,-0.129268,-0.0965316,-0.151543,-0.020531,-0.127585,0.0964364,-0.00621236,0.166373,-0.00287499,0.166643,0.0387327,0.0656972,-0.00724003,0.116508,0.0103218,0.0476471,-0.109428,0.136079,0.0621471,-0.0563791
O94477,-0.0606911,-0.0123317,0.259636,-0.203522,-0.232992,-0.224384,-0.307611,-0.000611273,-0.223612,0.210187,-0.0246237,0.30512,-0.00103332,0.298367,0.104527,0.122138,-0.0389665,0.265455,0.0347865,0.0632965,-0.206865,0.291028,0.139377,-0.0795717
Q09917,-0.0271805,-0.00845039,0.166107,-0.131306,-0.158733,-0.153664,-0.20504,-0.00210608,-0.135495,0.139111,0.00570211,0.222083,0.0177243,0.206876,0.065643,0.0998234,-0.0093845,0.152385,0.0110373,0.0215181,-0.13619,0.167286,0.1109,-0.05651
O13991,-0.062722,0.0140538,0.224537,-0.18047,-0.197829,-0.187277,-0.247157,-0.013774,-0.167788,0.192092,-0.0146779,0.273993,0.000333791,0.254877,0.0613618,0.112847,-0.046788,0.193504,0.018781,0.031245,-0.156515,0.242283,0.129439,-0.0910436
Q9UTE2,-0.0394489,-0.0201939,0.203419,-0.1447,-0.171158,-0.155482,-0.219006,0.00216112,-0.180735,0.174814,-0.0120857,0.231864,0.0221227,0.219905,0.0646629,0.10363,-0.0394941,0.194585,0.0444778,0.0269289,-0.14748,0.222453,0.128977,-0.0651977
O94235,-0.0573731,-0.00546207,0.208113,-0.14121,-0.163306,-0.158261,-0.241818,0.00832523,-0.143631,0.18192,-0.0257702,0.230463,0.00386712,0.223461,0.0538753,0.102946,-0.0435866,0.169174,0.0298462,0.0459265,-0.135348,0.204734,0.133792,-0.0603835
O14417,-0.0718797,-0.0153996,0.259888,-0.189218,-0.225911,-0.217698,-0.27753,-0.0038049,-0.235537,0.235675,-0.0323791,0.325621,0.0148648,0.288808,0.0759397,0.126108,-0.0200969,0.262864,0.0347693,0.0353852,-0.171066,0.265711,0.174671,-0.0777141
Q9Y705,-0.0825457,0.0066411,0.27359,-0.2465,-0.271309,-0.243246,-0.327355,-0.00522811,-0.248161,0.249022,-0.00955627,0.338571,0.0056999,0.355248,0.103993,0.118382,-0.0513073,0.281592,0.0396444,0.0529893,-0.211042,0.293682,0.178251,-0.103348
O13735,-0.0353555,-0.0101435,0.147633,-0.127686,-0.141158,-0.137199,-0.181147,0.00811277,-0.162413,0.15695,-0.000268911,0.203933,0.00741538,0.193587,0.037776,0.0778091,-0.0321913,0.164149,0.0363335,0.0320147,-0.108474,0.188221,0.0963268,-0.0751095
O94532,-0.0667352,-0.00667903,0.20559,-0.181363,-0.176847,-0.175496,-0.252771,-0.0118847,-0.162036,0.174254,-0.0190015,0.243581,-0.00264122,0.225726,0.0851015,0.103369,-0.0511338,0.198369,0.0379725,0.0546134,-0.179792,0.222109,0.129624,-0.0946718
O14044,-0.0278813,-0.0235106,0.107573,-0.0842021,-0.103851,-0.091367,-0.13026,-0.0150245,-0.0835375,0.0958313,-0.0248261,0.105946,0.0108867,0.105035,0.0352913,0.0242522,-0.0319048,0.0923753,0.0346119,0.0126086,-0.0699548,0.110978,0.0580605,-0.0549466
O74452,-0.0193208,0.000233211,0.14388,-0.119143,-0.142448,-0.13334,-0.169936,-0.00321347,-0.119231,0.130119,0.00354226,0.171115,-0.00938362,0.180308,0.0361002,0.0446312,-0.00787993,0.116007,0.010905,0.0477882,-0.10936,0.159504,0.101885,-0.0385821
O13651,-0.039633,0.00842816,0.138481,-0.107087,-0.110204,-0.0871987,-0.145897,-0.0263501,-0.0909562,0.0938894,-0.0235031,0.136337,0.0211325,0.12763,0.0343253,0.0490301,-0.0338352,0.117497,0.00439383,0.00815166,-0.108628,0.10721,0.059172,-0.0262462
O60187,-0.0555184,-0.00363252,0.212708,-0.19048,-0.2187,-0.184409,-0.268824,0.00552971,-0.204332,0.216489,-0.0188991,0.282751,0.0142367,0.264726,0.0801855,0.0995943,-0.053517,0.230148,0.0382865,0.0608498,-0.197326,0.243099,0.130163,-0.105718
Q10343,-0.0755656,0.00451224,0.236355,-0.198259,-0.235455,-0.215195,-0.318028,0.0025879,-0.222541,0.211652,-0.001672,0.294939,0.0158767,0.307063,0.0684857,0.132843,-0.0387972,0.24675,0.0390792,0.0636263,-0.204337,0.290756,0.179488,-0.107226
O74536,-0.0631111,-0.0215478,0.230937,-0.19528,-0.200724,-0.187002,-0.259049,-0.0116286,-0.20475,0.202179,-0.00318509,0.271,0.0252137,0.245154,0.0662548,0.0919048,-0.025258,0.200404,0.0255785,0.0401389,-0.175845,0.238294,0.118558,-0.0636029
P41390,-0.0310451,-0.00419808,0.191585,-0.129857,-0.185372,-0.126998,-0.216967,0.00838412,-0.141716,0.146219,-0.0211459,0.231113,0.0226074,0.208171,0.0642901,0.0629689,-0.0287453,0.182582,0.0205951,0.029532,-0.121067,0.192131,0.101993,-0.0537127
P42657,-0.0729702,-0.024831,0.226035,-0.177322,-0.222788,-0.169182,-0.269218,-0.0150511,-0.214293,0.203837,-0.0176047,0.288011,0.0244634,0.262066,0.0694696,0.0920519,-0.013267,0.19934,0.0492091,0.0450649,-0.164318,0.230672,0.156394,-0.0806594
O60128,-0.0472547,0.00969503,0.152455,-0.133862,-0.142225,-0.12989,-0.201608,-0.0230106,-0.139218,0.13116,0.00437611,0.21138,0.0152039,0.201343,0.067904,0.0655916,-0.0365431,0.159066,0.0259327,0.0280668,-0.123958,0.171978,0.0851564,-0.0582367
Q9UTB2,-0.0460488,-0.00762572,0.106591,-0.0940905,-0.110895,-0.0696111,-0.13472,0.0141488,-0.105777,0.0918169,-0.0147204,0.117844,0.0102182,0.135497,0.0268559,0.0629331,0.00085364,0.0970862,0.0302161,0.0412689,-0.0661666,0.103778,0.0734739,-0.028788
Q12702,-0.057993,-0.0129137,0.179098,-0.163078,-0.185658,-0.154193,-0.213591,-0.00525046,-0.159259,0.179169,-0.0151141,0.246924,0.0201734,0.238686,0.085382,0.0823043,-0.0162616,0.20932,0.0190362,0.0230536,-0.132728,0.215902,0.121881,-0.0811771
O59757,-0.080017,0.0129397,0.263596,-0.229567,-0.238831,-0.204963,-0.322451,-0.0148516,-0.246371,0.25705,0.0010739,0.315964,0.00421888,0.33429,0.0797299,0.141926,-0.0598903,0.274261,0.0618903,0.0593032,-0.222039,0.29013,0.167526,-0.109941
Q9UUB5,-0.0378388,-0.011009,0.161784,-0.141725,-0.138535,-0.135595,-0.188755,-0.0232769,-0.145685,0.149624,-0.0082398,0.184353,0.0143592,0.183938,0.0597909,0.0587393,-0.033862,0.162753,0.0443273,0.0249364,-0.119096,0.186492,0.102077,-0.0651384
Q10173,-0.053987,0.00288001,0.303188,-0.257272,-0.292861,-0.208421,-0.347517,-0.0135754,-0.260605,0.265089,-0.0107362,0.358031,-0.00727873,0.332091,0.0801722,0.148865,-0.0586965,0.276953,0.032879,0.0731728,-0.222248,0.319846,0.183881,-0.101153
Q9UTG8,-0.0630892,-0.0130862,0.199124,-0.170747,-0.196655,-0.176566,-0.228666,0.000900242,-0.193269,0.186101,-0.0322027,0.257414,0.026452,0.252331,0.0515337,0.110665,-0.0107429,0.184398,0.0389479,0.0596886,-0.160156,0.22765,0.114264,-0.0630351
P87297,-0.0574159,0.000987898,0.297814,-0.231904,-0.281736,-0.235075,-0.351743,-0.0177454,-0.243276,0.267624,-0.0320233,0.356853,0.0279007,0.330306,0.0919154,0.132108,-0.0652426,0.290264,0.0707029,0.0534864,-0.232316,0.299283,0.199832,-0.108944
O94709,-0.0144054,-0.0175426,0.113689,-0.0848462,-0.121748,-0.0784421,-0.135593,0.0172967,-0.10029,0.0799547,-6.7978e-05,0.122998,-0.0150967,0.12246,0.0479096,0.0545964,-0.0321874,0.119517,0.01455,0.00735637,-0.0724257,0.107087,0.0647673,-0.0530636
O14188,-0.0792614,-0.00629602,0.359403,-0.29038,-0.359412,-0.30082,-0.431143,-0.0315065,-0.345746,0.330964,-0.0250583,0.471776,0.0073364,0.419696,0.110317,0.173248,-0.065267,0.350421,0.0624467,0.0899868,-0.273626,0.422422,0.24833,-0.131329
P36579,-0.0273899,-0.00218648,0.1409,-0.0994143,-0.129444,-0.10697,-0.139692,-0.00255814,-0.127305,0.129211,-0.0177054,0.172734,0.00470653,0.176058,0.0491714,0.0820999,-0.00635236,0.114243,0.0139532,0.0353504,-0.126128,0.144714,0.0785864,-0.0607575
Q09702,-0.0237872,-0.0123666,0.115602,-0.118592,-0.13264,-0.0908254,-0.162548,0.00015736,-0.115079,0.123188,-0.0266506,0.159816,-0.00733391,0.161987,0.0435175,0.0811821,-0.0234474,0.12489,0.0282934,0.025789,-0.102999,0.135268,0.0793506,-0.0638277
O74825,-0.0256717,-0.0182575,0.173728,-0.148548,-0.1502,-0.134961,-0.190361,0.0093645,-0.155385,0.142481,-0.0284095,0.221812,-0.00197594,0.221181,0.0467877,0.0924725,-0.0165702,0.184004,0.0457113,0.0241518,-0.146725,0.181539,0.123582,-0.0784382
Q9P376,-0.0455924,-0.00726504,0.241165,-0.21799,-0.236458,-0.18937,-0.279575,-0.0136281,-0.20385,0.237248,-0.0353828,0.311768,0.0295573,0.275663,0.0883757,0.116147,-0.040693,0.257886,0.0456171,0.0576196,-0.207537,0.261322,0.151877,-0.10158
O94424,-0.0270022,0.00483157,0.172546,-0.145022,-0.182649,-0.125191,-0.216165,0.00996689,-0.13596,0.140716,-0.0270814,0.20675,0.0229054,0.180998,0.067776,0.0845139,-0.00714725,0.147683,0.0331669,0.0588949,-0.130671,0.198219,0.102716,-0.0613549
O42667,-0.0507019,-0.010647,0.13077,-0.112825,-0.146601,-0.135964,-0.167081,-0.0220624,-0.130355,0.139901,-0.00191623,0.171526,-0.00341258,0.180703,0.0354613,0.0791654,-0.0331617,0.131559,0.0378675,0.0488157,-0.106372,0.166918,0.0821683,-0.0702749
Q9UTS6,-0.0205084,-0.00388982,0.17423,-0.138497,-0.14747,-0.141208,-0.197495,0.00389567,-0.152068,0.156384,-0.00429456,0.201061,0.0267037,0.209206,0.0494112,0.0738639,-0.0383253,0.17208,0.0111005,0.0212797,-0.113475,0.200382,0.106373,-0.0627522
O74381,-0.0607138,-0.00956011,0.160865,-0.150818,-0.158527,-0.124818,-0.178936,0.00794436,-0.137261,0.124296,-0.0167257,0.212938,-0.00381076,0.186253,0.0741772,0.0883135,-0.0477928,0.185113,0.0300145,0.0558149,-0.13584,0.167157,0.106292,-0.0623075
O94334,-0.0265889,0.017444,0.138177,-0.112085,-0.0924437,-0.107214,-0.148839,-0.0153813,-0.122344,0.0876675,-0.0242276,0.13585,0.00158392,0.124304,0.0187151,0.0486686,-0.0164,0.109156,0.0314496,0.0149781,-0.0876309,0.124957,0.0930143,-0.043653
Q10215,-0.0227273,-0.00897061,0.108556,-0.0574248,-0.0878935,-0.0793401,-0.116936,-0.0188415,-0.075589,0.068245,-0.00417662,0.123229,-0.0123982,0.104256,0.0392029,0.0210829,0.00290822,0.0812969,0.0170741,0.00303685,-0.087433,0.0931767,0.0490462,-0.044296
P35679,-0.058771,-0.00891543,0.148577,-0.131054,-0.131839,-0.149279,-0.191275,0.00949327,-0.125958,0.142744,-0.00351023,0.204852,0.0132216,0.174973,0.0644025,0.0638314,-0.0387869,0.156637,0.0437026,0.0289971,-0.12626,0.155869,0.117361,-0.0792148
P87058,-0.0469908,-0.0227037,0.14316,-0.11961,-0.111935,-0.114549,-0.134975,-0.0144227,-0.115365,0.107362,-0.00804114,0.169855,0.00919737,0.140123,0.0421162,0.0388106,-0.0295181,0.106926,0.042989,0.0188546,-0.0861327,0.130512,0.0919819,-0.0606211
O42904,-0.0412515,-0.0211246,0.253832,-0.199898,-0.207181,-0.194081,-0.291474,0.00676824,-0.21726,0.211551,-0.0332096,0.29577,0.00910384,0.264394,0.0822341,0.110231,-0.0553399,0.246359,0.0315255,0.0319085,-0.166092,0.268342,0.15947,-0.0909199
Q12381,-0.107199,-0.000224567,0.380738,-0.312122,-0.360585,-0.330253,-0.458917,-0.022079,-0.359963,0.333494,-0.0270283,0.49995,0.0129189,0.466948,0.123642,0.202352,-0.0441291,0.399827,0.0778353,0.0721096,-0.308319,0.438351,0.23693,-0.150636
Q07538,-0.0137888,-0.0184449,0.105112,-0.0800292,-0.089015,-0.084032,-0.109953,0.0071863,-0.0752565,0.105607,-0.0168729,0.153464,0.00375747,0.145014,0.0559894,0.0541258,-0.00349085,0.0940308,0.028527,0.0390563,-0.0862821,0.118346,0.0844251,-0.0455382
O13816,-0.0445526,-0.0179591,0.15289,-0.11756,-0.165293,-0.10762,-0.158869,-0.00615564,-0.124704,0.109749,0.0113015,0.194499,0.00601708,0.165183,0.070674,0.0548931,-0.033305,0.162676,0.02024,0.0528031,-0.130452,0.149103,0.097553,-0.0484442
O59836,-0.0676826,-0.0146504,0.209599,-0.197735,-0.215567,-0.164256,-0.252433,0.0134688,-0.202538,0.202501,-0.0165567,0.284769,0.00066463,0.261313,0.0842039,0.0996987,-0.0210614,0.196842,0.0476493,0.0578197,-0.164835,0.250047,0.14011,-0.0872511
O42709,-0.0818696,0.00136511,0.373017,-0.291847,-0.352847,-0.31085,-0.429656,-0.0296908,-0.335869,0.313998,-0.000527759,0.435827,0.0280828,0.434332,0.114119,0.183768,-0.0359012,0.371027,0.0424244,0.0865737,-0.270847,0.388491,0.222887,-0.1233
P0CT78,-0.018677,0.000669483,0.154268,-0.141582,-0.13146,-0.131209,-0.193373,-0.00116563,-0.140572,0.119517,0.00377506,0.183242,-0.00945708,0.157305,0.0385209,0.0537985,-0.0275014,0.158455,0.00864972,0.0499498,-0.122165,0.135181,0.099338,-0.0617133
Q10425,-0.0487982,0.00742194,0.141236,-0.131023,-0.160008,-0.124559,-0.198395,-0.00769381,-0.158212,0.157251,-0.0300977,0.197957,0.00353474,0.193153,0.0616985,0.0770761,-0.0383655,0.150148,0.0468237,0.0207871,-0.115944,0.183977,0.0882728,-0.0800645
Q09725,-0.041865,0.00906335,0.210918,-0.192131,-0.223572,-0.170287,-0.275355,-0.00262081,-0.184786,0.198816,-0.00323222,0.263346,-0.0102223,0.245327,0.0896137,0.0835188,-0.0345413,0.213948,0.0572939,0.0644771,-0.155441,0.230203,0.133368,-0.0626293
P30776,-0.0767126,0.00852353,0.26184,-0.222968,-0.269448,-0.21115,-0.311843,-0.0143446,-0.254894,0.253888,-0.0222239,0.336688,-3.44535e-05,0.299382,0.0877378,0.12712,-0.0267039,0.261978,0.0451245,0.0539754,-0.186392,0.307951,0.16635,-0.0857482
P18296,-0.024583,0.00798567,0.142871,-0.11427,-0.129919,-0.122144,-0.143221,-0.00739377,-0.130348,0.104922,-0.0257586,0.157543,-0.00277364,0.13405,0.0333902,0.0674036,-0.038783,0.107854,0.0351096,0.0480925,-0.118088,0.144466,0.0799767,-0.0678333
Q9Y700,-0.0349521,0.00520596,0.0920757,-0.0585834,-0.0994582,-0.0567624,-0.117371,0.00111281,-0.0905709,0.0775242,-0.00502759,0.114682,0.0218961,0.0950914,0.038523,0.0401458,0.00325624,0.0989548,0.0125132,0.0134309,-0.0610489,0.11538,0.0365305,-0.0509256
P0CH07,-0.0251163,-0.00136536,0.145596,-0.121044,-0.145042,-0.145299,-0.180211,-0.00388525,-0.121303,0.152517,-0.0233467,0.213827,0.014945,0.192245,0.035852,0.0829693,-0.0302551,0.148707,0.00557123,0.0180314,-0.107724,0.169442,0.110722,-0.0478962
O74803,-0.0861767,0.00672896,0.258226,-0.226948,-0.241838,-0.228144,-0.325562,-0.00520355,-0.248504,0.23416,-0.0174408,0.319141,0.0130628,0.294719,0.0986923,0.143297,-0.0236025,0.279338,0.0541359,0.0612387,-0.195275,0.272716,0.165661,-0.118456
P0C016,-0.035721,0.0006987,0.135146,-0.0932301,-0.130122,-0.102688,-0.169895,-0.00149823,-0.102755,0.140153,-0.0114407,0.156729,-0.0124816,0.163029,0.0572729,0.0789013,-0.00254209,0.131126,0.0432667,0.0320826,-0.126036,0.166626,0.098807,-0.0614748
Q10135,-0.0527519,0.0094765,0.24444,-0.220564,-0.232049,-0.192153,-0.2954,0.00744993,-0.211533,0.198438,-0.0295823,0.305307,0.0255551,0.307106,0.0815344,0.124358,-0.0531373,0.251303,0.052764,0.046955,-0.213622,0.261939,0.142556,-0.109818
P87233,-0.0239734,0.0125765,0.167914,-0.121472,-0.169,-0.118978,-0.19833,0.0120282,-0.149946,0.15674,-0.0280024,0.194933,0.0131382,0.179121,0.0446545,0.0598153,-0.0367169,0.164669,0.0277667,0.0409103,-0.115357,0.151391,0.0926305,-0.0417997
O94489,-0.0393825,-0.018287,0.146771,-0.117119,-0.139507,-0.0941552,-0.142741,-0.0225576,-0.134808,0.110706,-0.00780384,0.155243,0.00705073,0.144834,0.0615546,0.0514699,-0.0199179,0.152414,0.0331901,0.0194044,-0.0970437,0.156683,0.101526,-0.065876
