protein,dim1,dim2
P46954,0.113234,0.548092
P40208,0.470571,0.330276
P22216,0.567367,1.28742
Q06142,0.637169,1.10741
P40583,-0.000787036,0.521632
P14063,0.264778,0.230242
P0CX32,0.552018,0.791345
P46997,0.207526,0.164754
P23292,1.22402,1.59044
P42943,0.387364,0.434379
P23644,0.506142,0.907751
P53220,0.301139,0.751346
P32910,0.294165,0.619021
P07703,0.510226,0.96366
P33322,0.376469,1.00319
P38800,0.506154,0.643345
Q06629,0.51815,1.15099
P40957,0.639805,0.481095
Q12383,0.148683,0.558184
Q05022,0.670373,1.10873
P25515,0.257354,0.667285
Q06598,0.259115,0.62303
Q04399,0.28156,0.411269
P40470,0.203219,0.230909
P47143,0.332363,0.373497
Q12152,0.636746,0.899055
P32603,0.285836,0.22121
P46974,0.228561,0.459439
P47023,0.291438,0.372057
P47037,0.577595,0.973404
P40091,0.595464,0.372888
Q02961,0.107778,0.262201
P14681,0.856117,1.37818
P11491,0.355451,0.411022
Q8J0M4,0.0382709,0.351887
P47062,0.216968,0.344625
P53861,0.622161,0.653484
Q03674,0.0919654,0.25644
P25623,0.424632,0.633987
Q04121,0.749254,0.514814
P41735,0.337622,0.666366
P17064,0.4604,0.358211
P40438,0.101831,0.540265
Q12004,0.535417,0.667765
P25302,0.392244,0.459152
P36157,0.202109,0.366496
P32788,0.406477,0.434833
P36118,0.506091,0.952389
P06782,1.05917,1.22736
Q07418,0.654317,0.654855
Q07844,0.516754,0.779057
Q02979,0.339025,0.561744
P34730,0.693536,0.997088
P38689,0.26081,0.578304
P53196,0.393542,0.362955
P40016,0.535268,1.1581
P39083,0.48504,0.683651
P46784,0.508828,0.492705
Q06834,0.582967,0.485126
P47124,0.299033,0.408973
Q07915,0.588913,0.608355
Q02896,0.356927,0.713412
P46683,0.132924,0.509341
Q06346,0.325578,0.28308
P35719,0.428601,0.775817
Q12133,0.268889,0.265077
P40956,0.631198,0.620238
P43603,0.797332,1.1949
P43612,0.264318,0.596851
P38346,0.175014,0.420396
P32380,0.547306,0.944148
P42900,0.331891,0.350736
Q08963,0.771982,0.871241
P36039,0.619797,0.411501
P47133,0.0614251,0.396143
P28004,0.515461,1.01163
P36009,0.110255,0.156085
P15646,0.80056,0.921061
P34241,0.491118,0.708403
Q08299,0.259305,0.150355
P43123,0.365852,0.415656
P10963,0.583218,0.40401
P25367,0.561324,0.978721
P38781,0.397517,0.512897
P0CH08,0.600789,0.676451
Q12056,0.478935,0.310957
P32458,0.683184,0.6878
P31334,0.566818,0.707745
P14359,0.854969,0.814575
P50276,0.687847,0.793905
P47065,0.0981171,0.655754
P46677,0.680901,1.00391
P11632,0.461504,0.652936
Q08949,0.376384,0.546373
Q12324,0.20425,0.395934
P49686,0.435496,0.887477
P32499,0.498544,0.389578
Q92393,0.16548,0.350455
P25619,0.362589,0.534392
Q03151,0.3322,0.292402
P46995,0.587888,0.883075
P43636,0.308184,0.301528
P53751,0.649173,0.513215
P53152,0.35124,0.456285
Q04410,0.344773,0.561366
P47044,0.127108,0.146946
P25583,0.411355,0.562696
P53829,0.552389,0.887228
P36027,0.6408,0.841227
P53731,0.580866,0.442179
P15454,0.416755,0.120003
Q03770,0.402176,0.383978
P07884,0.232936,0.395985
P22354,0.296747,0.620344
Q06630,0.625056,0.658738
Q03323,0.206984,0.549813
Q03012,0.407542,0.567617
Q04002,0.298277,0.527066
P0CX24,0.2265,0.799363
P26786,0.655523,0.794212
P40578,0.64568,0.525425
Q08651,0.255636,0.345158
P38325,0.409199,0.830377
P04840,0.65534,0.819522
P46951,0.323149,0.58987
P12612,0.316387,0.786427
P38857,0.353651,0.76763
P40215,0.180922,0.588748
P14127,0.501621,0.685561
P0C2H7,0.554347,0.609534
P05740,0.457079,0.817743
P35056,0.521003,0.792631
P25087,0.994821,0.950861
P05759,0.505415,0.636999
P53305,0.475544,0.714203
Q03799,0.53775,0.620786
Q03833,0.408936,0.603979
Q12216,0.860137,1.01438
P47122,0.38587,0.569211
Q12346,0.205895,0.672601
P35179,0.40874,0.638872
P38353,0.377472,0.773763
P36116,0.214384,0.399124
Q12447,0.143,0.644723
P40441,0.391451,0.240506
P49018,0.705266,1.04365
Q06681,0.269937,0.482342
Q08964,0.619165,0.77447
Q02159,0.574201,0.501358
P53599,0.452289,0.6654
P39955,0.462108,0.588391
Q12055,0.315226,0.712007
P39522,0.293206,0.497185
P22138,0.387635,0.984705
P0CE68,0.227929,0.159912
P38822,1.18933,1.13972
P41913,0.408689,0.705009
Q12164,0.622762,0.651357
P53274,0.512596,0.289429
P22148,0.270054,0.550988
P40453,0.589111,0.629703
P53276,0.469249,0.652715
P02994,0.676626,1.19547
P32795,0.451162,0.597656
P47045,0.508822,0.621244
Q03338,0.464307,0.520922
Q12330,0.294609,0.730438
P53934,0.296898,0.559225
P0CX30,0.260913,0.35977
Q12039,0.379286,0.223055
P32873,0.346495,0.384642
Q12250,0.748969,0.944749
P38348,0.538184,0.635561
P46987,0.363039,0.209893
P32861,0.219781,0.650074
P38061,0.677819,0.392816
P39990,0.53648,0.638052
Q04049,0.318974,0.86
P53166,0.351194,0.229478
P38328,0.540358,0.73425
P34221,0.494284,0.655546
P29469,0.510675,0.674337
P22289,0.450815,0.301758
P22146,0.221683,0.686248
P47002,0.0944567,0.602035
P32561,0.330425,0.673527
P00931,0.479278,0.284156
P22141,0.852571,0.729125
P12954,0.793309,1.35813
Q04119,0.402551,0.296175
P38206,0.188472,0.554898
Q04368,0.313941,0.548229
Q12468,0.169265,0.517849
Q03981,0.547643,0.642442
P32379,0.547804,0.546287
P25043,0.594817,0.621949
Q07951,0.235257,0.561848
P41810,0.755631,0.483158
P53197,0.714579,1.00121
Q03362,0.409507,0.227918
Q04472,0.347409,0.523751
P39939,0.618228,0.494504
Q12143,0.447963,0.633118
P00830,0.515347,0.796646
Q05924,0.118256,0.457332
P38314,0.595702,0.312157
P37303,0.274606,0.524908
P14680,0.526689,1.1108
P39706,0.61577,0.53585
Q07887,0.251209,0.702707
Q12000,0.325046,0.532527
P41058,0.192249,0.464308
Q06675,0.502514,0.574159
Q07535,0.387968,0.539805
Q12349,0.495343,0.639246
P00854,0.434919,0.656159
P03873,0.348952,0.108041
P31787,0.326485,0.804732
P54783,0.820435,0.7592
Q04749,0.480202,0.579333
P38623,0.648907,0.844736
Q08760,0.352447,0.47778
P40892,0.470694,0.333829
Q06071,0.530353,0.186551
P38236,0.613497,1.12629
P46674,0.814486,0.807054
P46948,0.351862,0.604
P06100,0.698212,0.591106
Q3E705,0.373728,0.304541
Q08920,0.718806,0.902287
P53037,0.406566,0.433582
P09937,0.107878,0.255114
P07271,0.39682,0.374047
P32445,0.775436,0.692643
P47100,0.376051,0.332609
P38615,0.874015,0.820078
P19158,0.404052,0.371442
P35178,0.421114,0.926094
Q12239,0.106502,0.354384
Q06208,0.329362,0.678485
P11938,0.413454,0.497172
Q08994,0.279574,0.226
P06838,0.359555,0.58262
P28742,0.509924,0.435734
Q06568,0.356782,0.885514
P46964,0.5207,0.781304
Q99380,0.29713,0.767497
Q03723,0.502538,0.645759
P41808,0.481834,0.650627
P38624,0.376915,0.523597
P23724,0.438143,0.461643
P10964,0.534458,0.472709
P22139,0.499041,0.658435
P32610,0.608743,0.622003
P24813,0.445936,0.26173
P40581,0.5006,0.668767
P42073,0.47034,0.636613
P53538,0.494366,0.787282
P53228,0.23424,0.437545
P01094,0.506671,0.345363
Q08187,0.0209699,0.463672
P39943,0.366303,0.387287
P32906,0.346437,0.642283
Q3E776,0.348459,0.468598
P32858,0.184846,0.230006
P38358,0.249627,0.34107
P32802,0.663807,0.929816
P43571,0.368987,0.232422
P46669,0.373726,0.719334
P02309,1.24453,1.34312
Q12412,0.353147,0.492084
P38993,0.649758,0.708239
P16661,0.53362,0.615409
Q12355,0.169803,0.387552
P10592,1.00015,1.5022
Q02895,0.192203,0.664956
P31381,0.159986,0.338334
P53919,0.690582,0.85036
P19807,0.716949,0.611212
P32568,0.327076,0.67108
P32786,0.641457,0.509373
P36070,0.544049,0.354654
P18759,0.327602,0.650285
Q12377,0.498151,0.653558
P39927,0.38729,0.544524
Q00618,0.476435,0.195994
P32864,0.229407,0.785253
P07262,0.409977,0.342945
Q06679,0.610467,0.762745
P47077,0.475284,0.511846
P37291,0.228103,0.627452
P40537,0.94967,1.25114
P38986,0.0525989,0.259574
P10355,0.105454,0.408629
P13711,0.585106,0.289819
P21595,0.236787,0.333554
P32618,0.249798,0.741486
P32471,0.112453,0.39087
P07261,0.386089,0.322151
P32892,0.73429,0.668834
P06244,1.22197,1.6408
P35723,0.687592,0.843276
Q12372,0.504837,0.55926
P33418,0.410636,0.508866
P42945,0.445893,0.618601
Q12318,0.480767,0.479139
P40969,0.582438,0.670724
P50080,0.112332,0.553959
P38967,0.314701,0.402268
P20840,0.392005,0.423069
P41833,0.530326,0.45959
P28584,0.111237,0.527043
P36164,0.284207,0.644133
Q07451,0.546063,0.584202
P39707,0.285747,0.434357
P16658,0.404317,0.599068
P07270,0.705833,1.40109
P53164,0.128823,0.620277
P36131,0.53505,0.714363
P69851,0.715081,0.464542
Q07967,0.163927,0.30632
P54964,0.481964,0.2319
P32789,0.192102,0.433468
P32606,0.348361,0.621235
P38203,0.75444,1.14563
P32656,0.272533,0.286389
P53950,0.375057,0.341211
P47150,0.467933,0.834282
P32902,0.763988,0.83062
P47082,0.275059,0.534271
P49435,0.459583,0.375037
P53905,0.657164,0.479161
P07260,0.580834,0.679875
Q02908,0.408523,0.618619
P38874,0.290856,0.576309
Q04868,0.377519,0.617866
P28000,0.639012,0.662019
Q04307,0.510087,0.377971
P35718,0.300023,0.548226
P53125,0.503904,0.475624
Q96VH3,0.33147,0.63054
P38635,0.377214,0.515794
Q08300,0.313754,0.157505
P40479,0.101786,0.266374
P32350,0.253891,0.720385
Q12161,0.417911,0.682972
P25637,0.727526,0.49682
Q04179,0.261448,0.576404
Q99393,0.209845,0.322533
P40076,0.27492,0.435067
Q07534,0.115867,0.447918
Q03081,0.647154,0.394999
P48562,0.568831,0.978974
Q03697,0.441551,0.599541
P38861,0.502942,0.514169
P26754,0.53746,0.814507
P43609,0.578544,0.769708
P36532,0.215976,0.236212
P01098,0.593851,0.356562
P38361,0.164963,0.331165
Q07824,0.887243,0.928498
P43568,0.14571,0.535563
Q12071,0.579262,0.561654
P17123,0.766258,0.786436
P25651,0.682759,0.922493
P39944,0.333032,0.440223
P38218,0.319697,0.202689
P28239,0.176273,0.271421
P00817,0.309032,0.71459
Q12680,0.427715,0.371572
P35190,0.616875,0.31557
P0CX77,0.0620022,0.440234
P28707,0.883029,1.36754
Q06541,0.349579,0.361553
P50113,0.249356,0.512221
P32805,0.303589,0.477401
P32485,0.465003,1.06079
P32521,0.317815,0.641432
Q04439,0.608522,1.06326
P43598,0.124769,0.689042
P40065,0.252258,0.347124
Q12340,0.354008,0.327847
P20604,0.759189,0.800114
P47057,0.33885,0.524832
P53267,0.543213,0.721033
Q12446,0.555098,1.22922
P13517,0.517907,0.574576
P39962,0.282139,0.580143
P26783,0.445142,0.801161
P47035,0.530103,0.757394
P36047,0.53828,0.692258
P38710,0.158243,0.376269
Q03760,0.204948,0.347698
P53937,0.256402,0.509867
Q02770,0.392058,0.162399
P20095,0.78954,0.706214
P53959,0.500477,0.525015
P25357,0.163507,0.537381
P41696,0.343073,0.430036
P36167,0.119714,0.403324
P20438,0.360388,0.853768
P33314,0.267761,0.651283
P22108,0.265279,0.279171
P34087,0.220142,0.535121
P27476,0.561488,0.70392
P06786,0.341877,0.835997
Q02796,0.613707,0.689545
P39535,0.291763,0.46266
P38839,0.365682,0.427714
Q08281,0.572686,0.633977
Q08223,0.167569,0.353232
P40019,0.312743,0.319773
P53865,0.588582,0.780939
P32288,0.234611,0.66583
P53741,0.812057,1.29097
P53145,0.655126,0.519077
P33550,0.177458,0.23941
P37012,0.574828,0.637724
Q05947,0.275228,0.338657
P48581,0.186892,0.60911
Q02574,0.557894,0.797302
P25297,0.496656,0.627964
Q04697,0.653514,0.852379
P25376,0.408993,0.642983
P38740,0.309909,0.195661
Q12255,0.465141,0.787893
Q04491,0.644052,0.616706
P25580,0.518973,0.552295
P35691,0.351433,0.622819
P36017,0.757898,0.651482
P38429,0.289818,0.572717
P32190,0.326586,0.380923
P37297,0.469403,0.555169
Q08647,0.452841,0.489806
Q03263,0.311228,0.5298
P38156,0.158059,0.597486
P38286,0.694898,1.23909
P53060,0.152891,0.405232
P40917,0.550684,0.479726
Q04526,0.317574,0.278677
P53930,0.54702,0.881854
P53198,0.422101,0.42494
P38287,0.301568,0.289378
P38769,0.419144,0.461612
P36117,0.347966,0.503654
P38751,0.406631,0.662481
P38957,0.185765,0.561831
P52593,0.546824,0.490467
P04821,0.540597,0.894917
P38235,0.269509,0.430781
P53819,-0.000137855,0.424216
P53172,0.235233,0.407314
Q06451,0.520467,0.799994
P38143,0.283997,0.436017
Q12194,0.290298,0.538684
P32047,0.198586,0.726079
Q07978,0.483369,0.429781
Q04477,0.807083,0.883398
P53253,0.596764,0.623341
P23250,0.200338,0.570235
P25565,0.0788724,0.219774
Q99258,0.14025,0.504957
P33754,0.221481,0.738404
P38836,0.193203,0.210363
P47075,0.527983,0.557549
Q06106,0.414592,0.687792
Q3E774,0.19462,0.575768
P39925,0.32143,0.570706
Q12154,0.512877,1.12781
P53303,0.33748,0.442396
P16649,0.629501,0.956474
P29539,0.554094,0.395483
P32598,0.76436,1.10402
P32830,0.535546,0.327508
P42949,0.467415,0.469935
Q04235,0.287958,0.395189
Q12374,0.535009,0.533755
Q05021,0.581067,0.512565
P25037,0.293232,0.352723
Q05549,0.34866,0.258355
P38247,0.353714,0.721797
Q00582,0.515321,0.676405
Q08287,0.354636,0.355009
Q05543,0.485071,0.170458
P16140,0.483831,0.740661
P35172,0.265724,0.385826
P38745,0.134702,0.533803
Q05521,0.534097,0.296896
P36113,0.251248,0.348618
P00899,0.226381,0.723894
P40571,0.306112,0.481574
P32480,0.457378,0.364323
P32447,0.294122,0.849441
P25632,0.468702,0.589645
P17106,0.427768,0.538196
P18851,0.315731,0.70311
P32863,0.396513,0.397649
P36775,0.386762,0.454837
P47054,0.639956,0.438984
P23201,0.688863,0.751043
P48566,0.416192,0.595934
P33892,0.620427,0.75015
Q00684,0.85102,1.27732
Q12277,0.258744,0.744126
Q12463,0.376017,-0.0299776
P15565,0.146745,0.62668
Q07748,0.262857,0.252015
P31109,0.678599,0.499427
Q12018,0.605368,0.982703
P25386,0.372723,0.587439
P32771,0.0580965,0.607562
P37304,0.320229,0.377855
Q02732,0.847188,0.836738
P37254,0.33502,0.570662
P24719,0.679377,1.03766
Q7LHD1,0.123206,0.624585
P33300,0.402756,0.308343
Q02776,0.340465,0.698584
P08679,0.118585,0.521269
P54885,0.36109,0.340577
P43551,-0.00558648,0.394837
P54837,0.679714,0.901401
P38968,0.138153,0.762216
P15790,0.75822,1.16143
P38146,0.320126,0.365696
P39958,0.510841,0.460214
P16120,0.418813,0.174828
P40318,0.722935,1.25887
P17076,0.588366,0.644359
Q06639,0.319929,0.608131
P53150,0.412258,0.454695
P19454,0.742645,0.72247
Q12481,0.475362,0.259313
Q06616,0.465121,0.490078
P02407,0.206602,0.727616
P38954,0.240662,0.283315
Q07350,0.745952,0.821005
P48564,0.363001,0.330511
P47160,0.491604,0.332822
P48559,0.20515,0.672161
Q3E7Z8,0.224307,0.193672
Q03433,0.358182,0.487034
Q05471,0.343808,0.739136
Q12221,0.401275,0.318813
P35497,0.385716,0.352657
P32783,0.32347,0.148667
P47101,0.133544,0.258676
Q05775,0.227893,0.688899
P38211,0.268903,0.5017
P38838,0.593018,0.552712
P53169,0.256168,0.535776
P53148,0.482772,0.85642
Q12196,0.221699,0.49563
P02557,0.504492,0.929897
Q02892,0.859588,0.696839
Q06160,0.214372,0.56008
P36037,0.330796,0.629953
Q2V2P4,0.340283,0.113732
P53394,0.0558204,0.23731
P0CX10,0.165908,0.53549
P40993,0.422633,0.624769
P41812,0.640444,0.614146
P25627,0.233966,0.306684
P53914,0.633631,0.881897
P32351,0.595887,0.434619
P27810,0.106179,0.547245
Q8TGU5,0.402199,0.351348
Q08213,0.0466375,0.390253
Q02773,0.665386,0.849963
P10662,0.446652,0.647676
P52870,0.328185,0.552977
P46956,0.340341,0.997302
P89114,0.47252,0.575089
Q06596,0.47303,0.670198
P40511,0.132877,0.595942
P17122,0.40765,0.599176
P50106,0.135473,0.50869
P53886,0.445224,0.895633
Q06604,0.550792,0.392087
P32875,0.137142,0.505895
P12685,0.399209,0.518265
P26570,0.628701,0.789965
Q04487,0.215031,0.42003
Q03028,0.465806,0.482362
Q08490,0.258186,0.507899
P06197,0.564746,0.704971
P40471,0.430879,0.656658
Q08580,0.31339,0.537552
P47006,0.444163,0.714326
P32495,0.462185,0.850225
P53734,0.430913,0.130796
P39101,0.216304,0.364571
Q06440,0.588186,0.818548
Q99188,0.216806,0.413786
P10823,0.574834,0.88128
P53390,0.494533,0.520283
P07264,0.418509,0.539148
P21951,0.494958,0.722756
P05756,0.528204,0.846659
P05748,0.512495,0.762282
P31383,0.562139,0.765915
P0CX67,0.387162,0.429464
Q03964,0.515343,0.230276
P20448,0.361412,0.740362
P48234,0.407563,0.656458
Q07623,0.480122,0.731362
P53140,0.169379,0.225535
P21147,0.420721,0.66601
Q06333,0.272331,0.284252
P0CX11,0.270554,0.541957
P50278,0.320188,0.552507
P53628,0.259445,0.549874
P07256,0.89798,1.12644
P48558,0.442388,0.289223
P23641,0.443237,0.582129
P32343,0.257601,0.371649
P53942,0.535451,0.419444
Q03099,0.216887,0.257493
P36012,0.848677,1.46906
P16370,0.326548,0.928999
Q08226,0.158,0.5116
Q06164,0.526305,0.47535
P22855,0.168926,0.405697
P46998,0.128758,0.348032
P40545,-0.0154268,0.541752
Q06252,0.404228,0.297722
P36068,0.790188,1.13918
Q12350,0.133216,0.403811
P40495,0.690793,0.619246
P53244,0.264501,0.421576
P38787,0.568955,0.287658
P29467,0.478465,0.43543
P12689,0.593314,0.618406
Q07381,0.417054,0.834432
P06843,0.434215,0.56529
Q03195,0.622643,0.496581
P38140,0.248412,0.47403
P53121,0.0291867,0.382912
P38925,0.323802,0.340881
P38167,0.189284,0.458684
P41057,0.265866,0.284739
P47031,0.142348,0.608196
Q05040,0.241891,0.690064
P27809,0.197188,0.316236
Q04406,0.211768,0.168114
P08465,0.311782,0.463694
P32525,0.367188,0.177707
P38137,0.443426,0.581196
P38331,0.514723,0.613623
Q12024,0.504947,0.761847
Q12176,0.749558,0.561138
P39684,0.21038,0.20555
P17649,0.363827,0.383993
Q08471,0.066385,0.255926
P53838,0.355183,0.563929
Q08702,0.392185,0.425033
Q06543,0.565743,0.635922
Q08726,0.583287,0.28521
P46655,0.555955,0.869803
P34247,0.2035,0.332423
Q03559,0.118762,0.393301
P16892,0.676211,1.32181
Q06108,0.414904,0.805028
P40352,0.433837,0.579086
P50277,0.360868,0.365159
P25336,0.244324,0.552188
Q8TGT4,0.250945,0.343051
Q04377,0.561171,0.497615
P25360,0.438109,0.546457
P38082,0.402481,0.494587
Q03818,0.189413,0.443884
P32775,0.0449844,0.434531
P38207,0.0904316,0.521809
P40161,0.503654,0.656149
P40440,0.356114,0.549972
P25554,0.514461,0.939524
Q12433,0.453273,0.412955
Q02336,0.796914,0.815095
Q12675,0.456159,0.580188
Q07963,0.490334,0.523734
P22696,0.761361,0.996785
P53039,0.517641,0.65309
Q04053,0.315255,0.632891
P53044,0.69006,0.45746
Q12532,0.283422,0.623666
P39981,0.153491,0.447174
P38262,0.542287,0.800957
P21734,0.346819,0.548376
P30656,0.549624,0.588905
P48232,0.569634,0.290204
P07274,0.275883,0.493966
P40046,0.42034,0.492168
P41948,0.557303,0.537471
Q08245,0.571264,0.394056
P47007,0.315741,0.186964
Q05946,0.646183,0.849365
P50105,0.352564,0.66571
P17260,0.549557,0.277535
Q12450,0.750213,0.576639
P39732,0.270496,0.367449
P38083,0.177077,0.481257
Q04214,0.291178,0.365116
Q01477,0.79503,1.47064
P36049,0.413965,0.889173
P0CX23,0.428034,0.891741
P38344,0.511036,0.399241
Q02256,0.504399,0.56859
Q12099,0.336718,0.209257
P20459,0.620336,0.642255
P20485,0.400773,0.428369
P40167,0.221541,0.314692
Q06218,0.381798,0.708718
Q12754,0.565157,0.823188
P40011,0.24709,0.352764
P49775,0.0993405,0.439836
Q12252,0.109375,0.386785
P38249,0.709303,0.791311
P07281,0.207887,0.679997
Q08202,0.236705,0.379582
P0CX83,0.164217,0.709777
P37267,0.372368,0.406826
P21771,0.462843,0.590118
Q02794,0.558079,0.513083
P40207,0.469701,0.252037
P53045,0.503213,0.995568
P40548,0.473756,0.954646
Q03161,0.474505,0.3418
Q04371,0.3731,0.362067
P38013,0.722367,0.563227
P38153,0.265177,0.419186
P48361,0.543826,0.631262
P53136,0.703648,0.484887
Q03677,0.153845,0.252152
P48353,0.420115,0.449351
P39523,0.555173,0.494462
P07991,0.328739,0.483789
P53280,0.503826,0.421327
Q12514,0.356811,0.67029
P06245,0.646607,0.85719
Q05530,0.17585,0.504377
Q12207,0.0548096,0.461163
P38201,0.284664,0.357464
P36130,0.657913,0.66111
P41901,0.401528,0.960653
P53925,0.26004,0.29859
P32657,0.282945,0.701947
P11978,0.600457,0.726974
P06105,0.407096,0.861007
P38899,0.327869,0.0989761
Q12236,0.714306,0.773002
P28241,0.4874,0.374068
P54115,0.185266,0.601445
Q06107,0.053426,0.420712
Q08553,0.208491,0.500007
P28791,0.333808,0.644471
P38695,0.342876,0.705681
Q07651,0.466992,0.890247
Q05812,0.123792,0.450115
Q12488,0.365016,0.561795
P38855,0.288276,0.203062
P47090,0.535747,0.565294
P53294,0.179583,0.2858
P0CE41,0.320546,0.39803
P53685,0.382361,0.387172
Q99321,0.0637331,0.309758
P32563,0.662169,0.588017
P38164,0.477412,0.566211
P06780,0.687309,0.75348
Q08905,0.391594,0.187533
Q12036,0.161734,0.179869
P51996,0.634044,0.373801
P53845,0.486518,0.924725
Q06697,0.474818,0.869794
P20433,0.519,0.610381
P53233,0.476972,0.673447
Q99382,0.23113,0.381846
P47988,0.211352,0.457701
P47098,0.0754116,0.328048
P53278,0.736013,0.843797
Q12080,0.57185,0.97537
P38782,0.245735,0.737832
P43616,0.304929,0.476772
P00360,0.396791,0.754959
P23642,0.251718,0.477582
P22214,0.404258,0.802181
P38810,0.161502,0.499916
Q02783,0.23097,0.452139
Q03897,0.655979,0.549532
P40098,0.111213,0.450293
P13393,0.892031,0.901426
Q03213,0.232525,0.475754
P53755,0.615354,0.434282
P53754,0.249136,0.312476
P32767,0.254522,0.588934
Q92331,0.175585,0.650276
P32913,0.403583,0.527481
P38759,0.44487,0.364041
P38865,0.245403,0.387324
P46989,0.575955,0.786295
P22035,0.276391,0.500802
P08018,0.462712,0.690016
Q07980,0.352354,0.424833
P38318,0.287607,0.0932666
Q04212,0.271055,0.341714
P35734,0.35252,0.513374
Q06070,0.224781,0.368996
Q08746,0.564698,0.675699
Q06188,0.427384,0.642982
Q04082,0.0998341,0.44134
P53969,0.378211,0.33104
P43594,0.404829,0.46072
Q12273,0.298456,0.165562
P43635,0.348308,0.316924
P53219,0.171849,0.547925
P40218,0.155366,0.349441
P54199,0.381595,1.01751
P07347,0.313213,0.560426
P25369,0.26043,0.484387
P36076,0.490835,0.568105
Q03496,0.269206,0.466937
Q03771,0.0989435,0.542074
P53686,0.440712,0.0978828
P40449,0.18683,0.522608
P53965,0.266284,0.575086
P20449,0.227201,0.525337
P06839,0.396902,1.03457
P25847,0.353643,0.844909
P48837,0.203989,0.677006
P21269,0.310012,0.218031
P40319,0.836003,0.959158
P40086,0.216983,0.422974
P53742,0.565851,0.643842
P25594,0.51472,0.191286
P22804,0.623267,0.655326
P43621,0.503671,0.681013
P32807,0.255624,0.715511
P38077,0.639376,0.4841
P53822,0.147314,0.164303
P49573,0.524892,0.490387
P16639,0.35288,0.466358
P40212,0.334538,0.774552
P40006,0.424826,0.205239
P05318,0.331234,0.391776
P38523,0.695787,0.590873
P38125,0.487555,0.32503
P53874,0.626198,0.938
P39744,0.346622,0.677006
Q02931,0.623992,0.501148
Q12400,0.229933,0.19532
P40560,0.274705,0.0906104
P38904,0.317388,0.345758
P39520,0.517055,0.645713
Q04949,0.56413,0.326831
P42826,0.365848,0.267628
P32357,0.333447,0.355979
Q03407,0.498894,0.598075
Q08236,0.258969,0.52687
P33760,0.199445,0.353724
Q08491,0.554831,0.639879
Q07993,0.350424,0.35697
P21524,0.416909,0.397
P20435,0.367429,0.787569
P25441,0.413988,0.342125
P0CX54,0.626895,0.57873
P0CX43,0.806599,0.609672
P40089,0.432874,1.02283
Q12029,0.314441,0.173704
P40026,0.199834,0.379639
Q08204,0.506558,0.759053
Q03554,0.289764,0.52847
Q12270,0.727837,0.901483
P19414,0.544285,0.588585
P0CX65,0.372577,0.294501
Q05789,0.321688,0.476801
Q06204,0.139698,0.516771
P43535,0.545802,0.529206
P33333,0.401429,0.563707
Q12168,0.411804,0.520727
Q12124,0.426693,0.463257
Q12267,0.461678,0.463051
P33895,0.528864,0.983893
P32572,0.425053,0.203674
Q03860,0.782148,1.0656
Q12414,0.230418,0.282232
Q03308,0.33953,0.512828
P53243,0.257815,0.614773
P33298,0.545403,0.938432
P34222,0.544296,0.329301
Q00055,0.127632,0.548324
P50896,0.332484,0.335863
Q00723,0.494526,0.558276
P48164,0.523172,0.695549
P39980,0.322047,0.433211
Q01589,0.47209,0.406215
P38910,0.336435,0.443172
P38987,0.856869,1.2438
P47115,0.335536,0.447371
Q03212,0.364285,0.316679
P53073,0.42056,0.298095
P25356,0.339277,0.481236
Q12293,0.055201,0.38948
P25659,0.221175,0.466086
P32901,0.467365,0.406871
Q3E756,0.254992,0.624855
P40088,0.360989,0.715933
P38996,0.73892,0.807384
P25576,0.207892,0.473809
P40559,0.268345,0.592745
Q3E7X8,0.475571,0.216669
Q03466,0.249227,0.486275
Q04608,0.279559,0.62796
P15703,0.292471,0.60818
P11745,0.624529,0.745036
Q04311,0.249068,0.319582
P54730,0.147795,0.552069
Q07532,0.220021,0.546004
Q04689,0.213614,0.552251
P09201,0.399423,0.726401
P38237,0.227726,0.553654
P38138,0.387179,0.567559
P39079,0.580815,0.918341
Q06408,0.25553,0.339419
P40540,0.575938,0.620462
P06168,0.273194,0.683711
Q04299,0.0791127,0.298321
P25294,0.60419,0.386535
P32504,0.539306,0.865269
P04456,0.547217,0.872109
P53724,0.320588,0.382977
P08964,0.710267,0.726588
P39968,0.525113,0.966191
P32389,0.499817,0.588335
Q04651,0.361091,0.899427
P38778,0.427487,0.30861
Q08931,0.563648,0.402471
P08019,0.204594,0.434006
P21243,0.72083,0.864673
P07251,0.567096,0.922582
P38266,0.432364,0.570441
Q01389,1.09768,1.00936
Q99210,0.292672,0.506493
P43592,0.236115,0.68389
Q02598,0.296956,0.150674
P36111,0.164088,0.414047
P46971,0.248731,0.536396
P40454,0.224177,0.58182
Q03935,0.381146,0.574478
P34237,0.544468,1.07221
Q03640,0.526772,0.795161
P40069,0.522224,0.959966
Q08144,0.568117,0.60781
P38131,0.440515,0.475822
P53953,0.210141,0.425314
P50090,0.431671,0.56086
P40482,0.561988,0.715218
P30777,0.15419,0.451724
P09624,0.390868,0.468848
P07866,0.890454,0.843107
P47139,0.11682,0.532677
P50101,0.802835,0.804221
P50107,0.324651,0.386969
Q06689,0.378451,0.72725
Q02774,0.595887,0.833506
Q05779,0.130675,0.620861
P54791,0.302818,0.782357
P30283,0.489896,0.679139
Q12138,0.28124,0.537856
P32435,0.255127,0.0983751
P38869,0.369345,0.611208
Q08951,0.325933,0.706058
P38714,0.247541,0.244726
P53035,0.525315,0.28715
